id;st;us   ;facies;forme;morphologie;aspect;longueur;largeur;epaisseur;poids;magnetisme
157;420;us_2;SFR;Rond;Bombo-convexe;Déchiqueté;43;47;33;53;Fort
158;420;us_2;SFR;Ovale Large;Plano-Convexe;Lisse;21;41;40;55;Fort
159;420;us_2;SFR;Semi-circulaire;Plano-convexe tronquée;Régulier ;40;54;32;60;Local
160;420;us_2;SFR;Semi-circulaire;Plano-convexe tronquée;Lisse;26;33;28;29;Fort
161;420;us_2;SFR;Rond;Plano-convexe tronquée;Régulier ;31;42;20;48;Fort
162;420;us_2;SFR;Ovale Large;Aplatie;Lisse;34;48;17;35;Fort
163;420;us_2;SFR;Ovale Large avec 2 bord d'appui rectiligne en TC;Plano-convexe tronquée;Lisse;33;38;18;29;Fort
164;420;us_2;SFR;Rond;Plano-convexe tronquée;Régulier ;31;42;27;33;Fort
165;180;2eme_moitie;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;41;64;30;109;Fort
166;198;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Lisse;18;42;29;27;Fort
167;691;;SFR;Ovale Large avec 2 bord d'appui rectiligne en TC;Aplatie;Irrégulier;59;71;15;137;Faible 
168;403;surface;SFR;Semi-circulaire;Aplatie;Irrégulier;28;34;17;15;Fort
169;403;surface;SFR;Semi-circulaire;Aplatie;Régulier ;20;25;11;7;Local
170;403;surface;SFR;Semi-circulaire;Aplatie;Régulier ;20;31;13;11;Fort
171;403;surface;SFR;Semi-circulaire;Aplatie;Régulier ;16;24;11;5;Fort
172;405;;SFR;Ovale Large;Aplatie;Régulier ;29;58;19;26;Faible 
173;192;us_1;SFR;Semi-circulaire;Plano-convexe tronquée;Régulier ;46;62;27;96;Fort
174;192;us_1;SFR;Semi-circulaire;Plano-convexe tronquée;Irrégulier;56;79;34;157;Local
175;416;;SFR;Rond;Aplatie;Régulier ;54;54;14;48;Fort
176;416;;SFR;Rond;Aplatie;Irrégulier;82;89;32;211;Fort
177;407;us_6;SFR;Ovale Large;Plano-Convexe;Régulier ;59;96;28;167;Local
178;407;us_6;SFR;Ovale Large;Aplatie;Régulier ;45;67;23;75;Fort
179;405;us_7;SFR;Semi-circulaire;Plano-convexe tronquée;Régulier ;43;57;22;57;Local
180;405;us_7;SFR;Semi-circulaire;Plano-convexe tronquée;Irrégulier;63;79;33;161;Local
